"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2019","20.47","20.41","23.47","18.62","2.63B","-7.75%"
"02/01/2019","21.33","20.36","21.62","19.25","1.93B","4.19%"
"03/01/2019","18.66","20.46","20.48","16.96","3.21B","-12.51%"
"04/01/2019","15.91","18.84","19.74","15.41","3.46B","-14.71%"
"05/01/2019","12.34","15.92","17.22","12.27","4.24B","-22.43%"
"06/01/2019","14.90","12.37","15.65","11.80","3.22B","20.68%"
"07/01/2019","16.11","15.35","17.74","14.81","2.99B","8.12%"
"08/01/2019","15.04","16.18","16.30","14.07","2.01B","-6.62%"
"09/01/2019","16.06","14.94","16.90","14.56","2.05B","6.76%"
"10/01/2019","20.99","16.10","22.72","14.95","3.53B","30.74%"
"11/01/2019","22.00","21.09","24.08","20.62","2.37B","4.77%"
"12/01/2019","27.89","21.96","29.02","21.82","3.11B","26.79%"
"01/01/2020","43.37","28.30","43.53","28.11","6.12B","55.52%"
"02/01/2020","44.53","44.91","64.60","40.77","7.10B","2.68%"
"03/01/2020","34.93","47.42","53.80","23.37","6.32B","-21.56%"
"04/01/2020","52.13","33.60","57.99","29.76","5.72B","49.21%"
"05/01/2020","55.67","50.33","56.22","45.54","4.09B","6.79%"
"06/01/2020","71.99","57.20","72.51","56.94","3.84B","29.32%"
"07/01/2020","95.38","72.20","119.67","72.03","5.68B","32.50%"
"08/01/2020","166.11","96.61","166.71","91.00","4.67B","74.15%"
"09/01/2020","143.00","167.38","167.50","109.96","5.21B","-13.91%"
"10/01/2020","129.35","146.92","155.30","126.37","2.50B","-9.55%"
"11/01/2020","189.20","131.33","202.60","130.77","2.35B","46.27%"
"12/01/2020","235.22","199.20","239.57","180.40","3.59B","24.33%"
"01/01/2021","264.51","239.82","300.13","239.06","2.12B","12.45%"
"02/01/2021","225.17","271.43","293.50","206.33","1.57B","-14.87%"
"03/01/2021","222.64","230.04","240.37","179.83","2.83B","-1.12%"
"04/01/2021","236.48","229.46","260.26","219.81","2.04B","6.21%"
"05/01/2021","208.41","234.60","235.33","182.33","1.88B","-11.87%"
"06/01/2021","226.57","209.27","232.54","190.41","1.56B","8.71%"
"07/01/2021","229.07","227.97","233.33","206.82","1.35B","1.10%"
"08/01/2021","245.24","233.33","246.80","216.28","1.15B","7.06%"
"09/01/2021","258.49","244.69","266.33","236.28","1.17B","5.40%"
"10/01/2021","371.33","259.47","371.74","254.53","1.59B","43.65%"
"11/01/2021","381.59","381.67","414.50","326.20","1.95B","2.76%"
"12/01/2021","352.26","386.90","390.95","295.37","1.53B","-7.69%"
"01/01/2022","312.24","382.58","402.67","264.00","1.92B","-11.36%"
"02/01/2022","290.14","311.74","315.92","233.33","1.39B","-7.08%"
"03/01/2022","359.20","289.89","371.59","252.01","1.73B","23.80%"
"04/01/2022","290.25","360.38","384.29","273.90","1.52B","-19.19%"
"05/01/2022","252.75","286.92","318.50","206.86","1.95B","-12.92%"
"06/01/2022","224.47","251.72","264.21","208.69","2.01B","-11.19%"
"07/01/2022","297.15","227.00","298.32","216.17","1.75B","32.38%"
"08/01/2022","275.61","301.27","314.67","271.81","1.70B","-7.25%"
"09/01/2022","265.25","272.58","313.80","262.47","1.30B","-3.76%"
"10/01/2022","227.54","254.50","257.50","198.59","1.74B","-14.22%"
"11/01/2022","194.70","234.05","237.40","166.18","1.89B","-14.43%"
"12/01/2022","123.18","197.08","198.92","108.24","2.94B","-36.73%"
"01/01/2023","173.22","118.47","180.68","101.81","3.90B","40.62%"
"02/01/2023","205.71","173.89","217.65","169.93","3.63B","18.76%"
"03/01/2023","207.46","206.21","207.79","163.91","3.31B","0.85%"
"04/01/2023","164.31","199.91","202.69","152.37","2.51B","-20.80%"
"05/01/2023","203.93","163.17","204.48","158.83","2.68B","24.11%"
"06/01/2023","261.77","202.59","276.99","199.37","3.44B","28.36%"
"07/01/2023","267.43","276.49","299.29","254.12","2.39B","2.16%"
"08/01/2023","258.08","266.26","266.47","212.36","2.50B","-3.50%"
"09/01/2023","250.22","257.26","278.98","234.58","2.44B","-3.05%"
"10/01/2023","200.84","244.81","268.94","194.07","2.59B","-19.73%"
"11/01/2023","240.08","204.04","252.75","197.85","2.65B","19.54%"
"12/01/2023","248.48","233.14","265.13","228.20","2.30B","3.50%"
"01/01/2024","187.29","250.08","251.25","180.06","2.34B","-24.63%"
"02/01/2024","201.88","188.50","205.60","175.01","2.02B","7.79%"
"03/01/2024","175.79","200.52","204.52","160.51","1.90B","-12.92%"
"04/01/2024","183.28","176.17","198.87","138.80","2.48B","4.26%"
"05/01/2024","178.08","182.00","187.56","167.75","1.67B","-2.84%"
"06/01/2024","197.88","178.13","203.20","167.41","1.41B","11.12%"
"07/01/2024","232.07","201.02","271.00","200.85","2.95B","17.28%"
"08/01/2024","214.11","227.69","231.87","182.00","1.62B","-7.74%"
"09/01/2024","261.63","215.26","264.86","209.64","1.61B","22.19%"
"10/01/2024","213.65","262.66","263.98","212.12","1.21B","-18.34%"
